Country,Nov.17,Nov.23,Dec.2
Australia,4820,5339,5637
Belgium,189,846,1163
Brazil,2937,5061,32767
Canada,6779,7283,7459
Denmark,61,61,71
France,660,1355,1713
Germany,1168,1363,1858
Italy,1451,6255,8894
Korea,20,20,28
Luxembourg,30,41,64
Mexico,634,501,800
Netherlands,180,246,393
Spain,11728,18753,25970
Sweden,70,75,379
Switzerland,222,243,373
UK,858,901,1249
US,5282,,17969
Rest of the world,,,1275
